AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN,CRM,CRM,CRM,CRM,CRM,MRNA,MRNA,MRNA,MRNA,MRNA,MSFT,MSFT,MSFT,MSFT,MSFT,NIO,NIO,NIO,NIO,NIO,NNDM,NNDM,NNDM,NNDM,NNDM,NVDA,NVDA,NVDA,NVDA,NVDA,PFE,PFE,PFE,PFE,PFE,TSLA,TSLA,TSLA,TSLA,TSLA
open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
170.32,173.07,169.5,172.92,19475688,1604.01,1622.72,1586.57,1622.11,4139096,152.02,155.41,150.25,155.09,4282661,20.37,21.08,19.9,20.93,614725,109.16,110.71,108.8,110.52,18892798,7.02,7.2,6.85,7.055,30714128,0.815,0.82,0.8,0.82,160424,145.66,151.07,144.8,150.67,8921590,41.33,41.44,40.34,40.8899,25323079,276.91,285.59,275.89,284.13,8457763
175.49,179.12,175.35,178.98,26225966,1626.95,1672.285,1626.01,1670.32,3476811,155.9,157.77,153.4301,157.61,5344640,20.99,20.99,19.97,20.4,652861,110.99,112.95,110.98,112.83,19241941,6.95,6.98,6.55,6.59,60665834,0.83,0.85,0.81,0.8255,117487,151.59,162.06,149.69,161.13,19618198,41.1,41.52,40.8,41.5,21748039,283.52,291.28,280.5,290.86,6980280
180.0,182.67,179.37,180.94,27277399,1669.0,1684.265,1660.98,1672.42,3094709,158.0,159.37,157.16,158.2,3670753,20.52,20.89,19.12,19.2253,1336781,112.86,113.99,112.6499,113.64,20681885,6.6223,6.64,6.37,6.39,37789818,0.82,0.8487,0.812,0.8372,267604,162.26,164.39,159.19,162.51,13583987,41.7,41.92,41.3747,41.75,18040858,286.49,288.07,281.06,283.37,7127257
182.25,183.3,180.92,181.72,23960992,1683.0,1700.0,1679.35,1690.8,3263391,158.85,162.0,158.61,159.78,4724278,19.3,20.255,19.23,19.97,732499,114.13,115.0,113.78,114.51,20619125,6.32,6.77,6.24,6.5399,40575441,0.85,0.86,0.8352,0.841,225813,163.81,169.8,163.73,168.62,17991361,41.87,42.13,41.55,42.01,17132561,283.9,291.99,282.7,288.91,6554342
183.9,184.1,182.56,183.73,19457731,1691.2,1702.0,1684.34,1685.29,2583867,160.95,161.59,159.74,160.7,2841927,19.92,21.0,19.92,20.82,868530,114.54,115.2,114.33,114.57,16713862,6.63,6.64,6.0,6.02,57828208,0.87,0.88,0.673,0.7305,999495,168.99,169.47,165.25,165.56,11514650,42.0,42.08,41.13,41.2,23836808,292.45,295.39,288.29,289.96,6699809
184.66,187.33,184.66,186.21,21750706,1700.22,1718.8,1693.13,1712.91,4133684,159.35,162.18,159.23,161.51,3773061,21.775,22.19,21.5,21.83,937107,115.69,117.25,114.59,115.9,23202509,5.79,6.05,5.75,5.75,56750830,0.82,0.82,0.7095,0.75,556548,170.245,171.4,169.38,169.82,8784375,40.945,41.88,40.88,41.78,24070026,277.7671,280.19,274.4,275.5492,8870978
185.8,188.39,185.79,188.03,22563772,1712.39,1750.0,1712.39,1742.0,4804401,161.4,163.33,160.8799,161.97,3010436,21.74,22.22,21.22,22.15,943142,116.17,117.61,116.05,117.59,21942113,5.69,5.95,5.44,5.74,72281542,0.765,0.77,0.73,0.75,213986,171.08,173.25,167.8577,168.97,11443204,41.77,42.065,41.65,41.82,14221816,275.94,278.05,267.3,269.52,9780738
188.35,188.99,185.92,186.54,26863005,1754.13,1784.16,1753.51,1762.7,5692348,163.36,164.62,162.84,163.96,3275172,22.47,22.6,20.18,20.3,949034,118.09,118.44,116.99,117.7,25475440,5.92,6.03,5.87,5.97,41858875,0.8,0.8,0.7435,0.76,81010,172.76,177.5,172.08,175.74,20201970,41.965,42.43,41.9238,42.32,15584555,267.5,273.3,263.46,267.38,11314236
186.23,189.49,184.73,188.17,26974003,1769.94,1799.01,1767.0338,1797.73,5635029,163.84,164.95,161.51,163.47,3509450,20.41,20.98,19.9,20.04,799655,117.45,118.75,116.71,117.52,21986538,6.02,6.03,5.71,5.85,37691338,0.7511,0.76,0.75,0.7598,67572,176.88,179.03,173.0,174.4,16735219,42.2,42.395,41.78,42.17,17047931,269.69,274.97,266.3,273.5,6668734
190.02,196.33,189.81,195.05,42720798,1796.26,1823.75,1787.281,1818.4,5081857,163.17,166.99,162.75,166.91,3846785,20.0,20.25,19.21,19.33,831973,117.16,120.82,117.09,120.64,22834181,5.75,5.945,5.74,5.84,20370431,0.78,0.7883,0.74,0.77,61229,175.33,185.0,175.13,183.9,18324944,41.93,42.64,41.87,42.36,16482501,272.0,276.45,268.45,274.045,5664291
