#,Company,Symbol,Weight,Price,Chg,% Chg
210,ResMed Inc.,RMD,0.099126,218.45,4.72,-2.21%
211,Paychex Inc.,PAYX,0.098531,97.55,1.9,-1.99%
212,EOG Resources Inc.,EOG,0.098123,51.77,-0.38,(-0.73%)
213,Ball Corporation,BLL,0.097569,92.19,0.21,-0.23%
214,Aflac Incorporated,AFL,0.096316,43.89,-0.92,(-2.05%)
215,Corteva Inc,CTVA,0.096006,39.41,-0.27,(-0.68%)
216,ANSYS Inc.,ANSS,0.095905,357.81,11.18,-3.23%
217,PACCAR Inc,PCAR,0.095521,86.01,0.24,-0.28%
218,Phillips 66,PSX,0.095352,66.85,-0.32,(-0.48%)
219,Walgreens Boots Alliance Inc,WBA,0.095324,40.89,0.01,-0.02%
220,Eversource Energy,ES,0.094277,84.71,-1.07,(-1.25%)
221,Stanley Black & Decker Inc.,SWK,0.094266,181.52,-0.57,(-0.31%)
222,Hilton Worldwide Holdings Inc,HLT,0.094123,104.61,-0.09,(-0.09%)
223,Simon Property Group Inc.,SPG,0.093795,85.43,-3.6,(-4.04%)
224,WEC Energy Group Inc,WEC,0.093605,91.32,-0.9,(-0.98%)
225,Motorola Solutions Inc.,MSI,0.093342,170.26,0.61,-0.36%
226,Public Service Enterprise Group Inc,PEG,0.093049,56.82,-0.37,(-0.65%)
227,Rockwell Automation Inc.,ROK,0.092287,247.95,0.76,-0.31%
228,Fastenal Company,FAST,0.091417,49.34,-0.23,(-0.46%)
229,McKesson Corporation,MCK,0.09035,173.55,0.64,-0.37%
230,Corning Inc,GLW,0.090259,36.24,-0.35,(-0.96%)
231,V.F. Corporation,VFC,0.089739,84.88,-1.67,(-1.93%)
232,Kinder Morgan Inc Class P,KMI,0.089629,14.21,-0.09,(-0.63%)
233,AutoZone Inc.,AZO,0.089628,"1,181.90",1.01,-0.09%
234,Welltower Inc.,WELL,0.089537,64.02,-1.93,(-2.93%)
235,Archer-Daniels-Midland Company,ADM,0.088846,49.68,0.3,-0.61%
236,Southwest Airlines Co.,LUV,0.088713,46.03,-0.36,(-0.78%)
237,American Water Works Company Inc.,AWK,0.088468,150.24,-1.62,(-1.07%)
238,Willis Towers Watson Public Limited Company,WLTW,0.088232,204.89,-7.34,(-3.46%)
239,Mettler-Toledo International Inc.,MTD,0.087942,"1,134.83",4.5,-0.40%
240,Discover Financial Services,DFS,0.086909,85.99,-1.49,(-1.70%)
241,AMETEK Inc.,AME,0.086639,118.1,0.47,-0.40%
242,Dollar Tree Inc.,DLTR,0.086616,111.88,-1.17,(-1.03%)
243,Otis Worldwide Corporation,OTIS,0.086249,65.61,-0.18,(-0.27%)
244,Marathon Petroleum Corporation,MPC,0.085202,40.35,-0.23,(-0.57%)
245,Williams Companies Inc.,WMB,0.085199,21.18,-0.62,(-2.84%)
246,Delta Air Lines Inc.,DAL,0.085016,40.68,-0.43,(-1.05%)
247,Weyerhaeuser Company,WY,0.082611,33.74,-0.72,(-2.09%)
248,Clorox Company,CLX,0.082106,203.17,0.83,-0.41%
249,State Street Corporation,STT,0.08096,70.66,-0.08,(-0.11%)
250,Copart Inc.,CPRT,0.080761,122.36,0.68,-0.56%
251,Arthur J. Gallagher & Co.,AJG,0.079021,125.32,-2.87,(-2.24%)
252,Skyworks Solutions Inc.,SWKS,0.078942,148.2,2.67,-1.83%
253,D.R. Horton Inc.,DHI,0.078834,73.23,-0.24,(-0.33%)
254,Kroger Co.,KR,0.078182,30.87,-0.13,(-0.42%)
255,Cerner Corporation,CERN,0.077345,77.6,-0.56,(-0.72%)
256,Edison International,EIX,0.077312,62.54,-0.36,(-0.57%)
257,Consolidated Edison Inc.,ED,0.077041,71.15,-0.47,(-0.66%)
258,FLEETCOR Technologies Inc.,FLT,0.076801,279.47,-2.54,(-0.90%)
259,Keysight Technologies Inc,KEYS,0.076778,128.26,1.4,-1.10%
260,DTE Energy Company,DTE,0.076696,121.7,-1.85,(-1.50%)
261,Best Buy Co. Inc.,BBY,0.075801,101.95,-0.39,(-0.38%)
262,First Republic Bank,FRC,0.075773,135.78,-2.32,(-1.68%)
263,Fortive Corp.,FTV,0.075759,69.83,0.5,-0.72%
264,Equifax Inc.,EFX,0.075641,195.17,1.42,-0.73%
265,McCormick & Company Incorporated,MKC,0.075029,93.37,-1.23,(-1.30%)
266,LyondellBasell Industries NV,LYB,0.074803,90.93,0.83,-0.92%
267,Valero Energy Corporation,VLO,0.074789,54.77,-1.57,(-2.79%)
268,Maxim Integrated Products Inc.,MXIM,0.074266,87.39,1.55,-1.81%
269,Ameriprise Financial Inc.,AMP,0.074112,186.94,-3.11,(-1.64%)
270,AvalonBay Communities Inc.,AVB,0.073886,158.44,-4.79,(-2.93%)
271,Etsy Inc.,ETSY,0.07276,191.14,3.04,-1.62%
272,Kraft Heinz Company,KHC,0.072725,34.75,0.13,-0.38%
273,Hershey Company,HSY,0.072724,150.88,-0.73,(-0.48%)
274,Take-Two Interactive Software Inc.,TTWO,0.071947,203.7,6.3,-3.19%
275,VeriSign Inc.,VRSN,0.071398,217.82,-0.11,(-0.05%)
276,Lennar Corporation Class A,LEN,0.071182,80.84,0.89,-1.11%
277,MarketAxess Holdings Inc.,MKTX,0.070357,578.88,1.53,-0.27%
278,Paycom Software Inc.,PAYC,0.070121,439.84,-1.96,(-0.44%)
279,CBRE Group Inc. Class A,CBRE,0.069714,63.29,-1.12,(-1.74%)
280,Church & Dwight Co. Inc.,CHD,0.069294,88.15,0.94,-1.08%
281,Viatris Inc.,VTRS,0.06901,17.91,0.19,-1.07%
282,PPL Corporation,PPL,0.068067,26.95,-0.4,(-1.46%)
283,Realty Income Corporation,O,0.067829,59.52,-1.51,(-2.47%)
284,Alexandria Real Estate Equities Inc.,ARE,0.067557,175.26,-2.44,(-1.37%)
285,Equity Residential,EQR,0.06621,57.65,-1.99,(-3.34%)
286,ViacomCBS Inc. Class B,VIAC,0.066165,35.26,-0.94,(-2.60%)
287,Republic Services Inc.,RSG,0.066018,96.78,-0.11,(-0.11%)
288,West Pharmaceutical Services Inc.,WST,0.065479,277.66,4.08,-1.49%
289,Zebra Technologies Corporation Class A,ZBRA,0.064892,373,-2.43,(-0.65%)
290,Entergy Corporation,ETR,0.064749,100.02,-0.54,(-0.54%)
291,Teradyne Inc.,TER,0.064241,121.2,1.85,-1.55%
292,Laboratory Corporation of America Holdings,LH,0.06367,205.11,2.42,-1.19%
293,International Paper Company,IP,0.063297,49.98,0.23,-0.46%
294,Hologic Inc.,HOLX,0.063031,74.99,-0.11,(-0.15%)
295,CDW Corp.,CDW,0.062525,134.37,-0.87,(-0.64%)
296,Fifth Third Bancorp,FITB,0.062478,27.5,0.37,-1.36%
297,Ameren Corporation,AEE,0.062334,78.86,0.12,-0.15%
298,Northern Trust Corporation,NTRS,0.062135,91.9,-0.2,(-0.22%)
299,Tyson Foods Inc. Class A,TSN,0.062041,64.95,-0.05,(-0.08%)
300,Ventas Inc.,VTR,0.061535,50.83,-0.66,(-1.28%)
301,Pioneer Natural Resources Company,PXD,0.061438,114.36,-0.02,(-0.02%)
302,SVB Financial Group,SIVB,0.061096,357.8,-7.06,(-1.93%)
303,Las Vegas Sands Corp.,LVS,0.061059,57.43,0.09,-0.16%
304,Old Dominion Freight Line Inc.,ODFL,0.060547,199.54,3.48,-1.77%
305,Teleflex Incorporated,TFX,0.060154,408.9,6,-1.49%
306,Kansas City Southern,KSU,0.060117,197.62,1,-0.51%
307,W.W. Grainger Inc.,GWW,0.059827,410.46,0.42,-0.10%
308,Vulcan Materials Company,VMC,0.059627,145.22,5.68,-4.07%
309,Fortinet Inc.,FTNT,0.059515,146,9.58,-7.02%
310,Amcor PLC,AMCR,0.059178,11.66,0.1,-0.87%
311,Qorvo Inc.,QRVO,0.059103,163.5,3.9,-2.44%
312,Tyler Technologies Inc.,TYL,0.058862,448.81,-6.47,(-1.42%)
313,ONEOK Inc.,OKE,0.058656,39.87,-0.86,(-2.11%)
314,Dover Corporation,DOV,0.058209,123.86,0.1,-0.08%
315,Synchrony Financial,SYF,0.058134,32.35,-0.95,(-2.85%)
316,Xylem Inc.,XYL,0.057729,100.05,0.3,-0.30%
317,Halliburton Company,HAL,0.057202,19.68,-0.4,(-1.99%)
318,Conagra Brands Inc.,CAG,0.056681,36.12,-0.05,(-0.14%)
319,Garmin Ltd.,GRMN,0.05619,119.49,0.86,-0.72%
320,Broadridge Financial Solutions Inc.,BR,0.055812,153.88,3.05,-2.02%
321,Cooper Companies Inc.,COO,0.055752,349.63,-1.89,(-0.54%)
322,Akamai Technologies Inc.,AKAM,0.055301,107.08,1.47,-1.39%
323,Catalent Inc,CTLT,0.055136,105,1.38,-1.33%
324,Tractor Supply Company,TSCO,0.054824,147.08,1.57,-1.08%
325,Expedia Group Inc.,EXPE,0.05475,124,-0.48,(-0.39%)
326,Ingersoll Rand Inc.,IR,0.054682,45.22,-0.22,(-0.48%)
327,CMS Energy Corporation,CMS,0.054634,59.23,-0.28,(-0.47%)
328,Hartford Financial Services Group Inc.,HIG,0.054571,47.65,0.87,-1.86%
329,Nucor Corporation,NUE,0.054343,53.93,-1.52,(-2.74%)
330,United Rentals Inc.,URI,0.053691,227.54,-1.62,(-0.71%)
331,Martin Marietta Materials Inc.,MLM,0.053578,276.35,10.62,-4.00%
332,Healthpeak Properties Inc.,PEAK,0.05337,29.83,-0.66,(-2.16%)
333,FirstEnergy Corp.,FE,0.053339,30.34,-0.16,(-0.52%)
334,Incyte Corporation,INCY,0.053199,88.34,0.06,-0.07%
335,CarMax Inc.,KMX,0.053157,98.25,-1.54,(-1.54%)
336,Citrix Systems Inc.,CTXS,0.052366,131.19,0.45,-0.34%
337,M&T Bank Corporation,MTB,0.052333,123.73,-2.1,(-1.67%)
338,Occidental Petroleum Corporation,OXY,0.052055,18.52,-0.66,(-3.44%)
339,Quest Diagnostics Incorporated,DGX,0.05189,120.36,-0.36,(-0.30%)
340,PerkinElmer Inc.,PKI,0.051473,142.7,-0.72,(-0.50%)
341,Cardinal Health Inc.,CAH,0.051413,54.96,0.74,-1.36%
342,Varian Medical Systems Inc.,VAR,0.051304,174.8,0.39,-0.22%
343,Essex Property Trust Inc.,ESS,0.051198,234.37,-7.48,(-3.09%)
344,Western Digital Corporation,WDC,0.051192,53.44,-0.02,(-0.04%)
345,Hewlett Packard Enterprise Co.,HPE,0.051105,12.12,-0.06,(-0.49%)
346,Expeditors International of Washington Inc.,EXPD,0.051089,95.4,1.37,-1.46%
347,Kellogg Company,K,0.050692,62.08,-0.4,(-0.64%)
348,Waters Corporation,WAT,0.050471,250.38,-0.36,(-0.14%)
349,Arista Networks Inc.,ANET,0.050262,287.72,2.35,-0.82%
350,STERIS Plc,STE,0.050251,184.9,2.26,-1.24%
351,Hess Corporation,HES,0.050227,55.95,-0.72,(-1.27%)
352,Celanese Corporation,CE,0.05022,131.76,0.8,-0.61%
353,Darden Restaurants Inc.,DRI,0.0501,116.16,-2.46,(-2.07%)
354,Ulta Beauty Inc,ULTA,0.049789,267,-5.78,(-2.12%)
355,KeyCorp,KEY,0.049772,15.42,-0.16,(-1.03%)
356,Domino's Pizza Inc.,DPZ,0.0497,396.71,1.55,-0.39%
357,Regions Financial Corporation,RF,0.048717,15.26,-0.3,(-1.93%)
358,FMC Corporation,FMC,0.048582,115.65,0.03,-0.03%
359,Duke Realty Corporation,DRE,0.048238,39.24,-1.21,(-2.99%)
360,Citizens Financial Group Inc.,CFG,0.048124,34.21,-0.57,(-1.64%)
361,Extra Space Storage Inc.,EXR,0.047917,112.49,-1.68,(-1.47%)
362,Seagate Technology PLC,STX,0.04791,65.42,-0.79,(-1.19%)
363,IDEX Corporation,IEX,0.047835,198.55,0.67,-0.34%
364,Nasdaq Inc.,NDAQ,0.047798,128.6,0.1,-0.08%
365,NVR Inc.,NVR,0.047702,"4,226.87",7.07,-0.17%
366,Albemarle Corporation,ALB,0.047498,138.9,1.42,-1.03%
